,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
316,2011Q4, Rangarthing eystra,1700,880,810,.,1540,160
317,2011Q4, Rangarthing ytra,1480,730,750,.,1370,110
318,2011Q4, Hrunamannahreppur,760,390,370,.,660,100
319,2011Q4, Hveragerdisbaer,2240,1130,1110,.,2160,80
320,2011Q4, Sveitarfelagid Olfus,1890,1000,890,.,1640,250
321,2011Q4, Grimsnes- og Grafningshreppur,410,220,180,.,380,30
322,2011Q4, Skeida- og Gnupverjahreppur,500,250,250,.,470,25
323,2011Q4, Blaskogabyggd,880,430,450,.,800,80
324,2011Q4, Floahreppur,600,320,280,.,580,20
325,2012Q1,Total,313640,156800,156840,.,294680,18960
326,2012Q1,Capital region,199140,98410,100720,.,186980,12160
327,2012Q1, Reykjavikurborg,115590,57040,58560,.,107560,8030
328,2012Q1, Kopavogsbaer,30740,15210,15530,.,29080,1660
329,2012Q1, Seltjarnarnesbaer,4240,2070,2170,.,4060,180
330,2012Q1, Gardabaer,13460,6640,6820,.,13100,360
331,2012Q1, Hafnarfjardarkaupstadur,26180,12910,13270,.,24580,1610
332,2012Q1, Mosfellsbaer,8710,4440,4280,.,8400,320
333,2012Q1, Kjosarhreppur,210,110,100,.,200,5
334,2012Q1,Other regions,114500,58380,56120,.,107700,6800
335,2012Q1, Reykjanesbaer,14020,7070,6950,.,12840,1180
336,2012Q1, Grindavikurbaer,2790,1430,1360,.,2590,200
337,2012Q1, Sveitarfelagid Vogar,1110,580,530,.,1040,70
338,2012Q1, Sudurnesjabaer,3030,1580,1450,.,2670,360
339,2012Q1, Akraneskaupstadur,6510,3310,3200,.,6120,380
340,2012Q1, Skorradalshreppur,60,35,25,.,60,.
341,2012Q1, Hvalfjardarsveit,600,320,280,.,570,30
342,2012Q1, Borgarbyggd,3400,1750,1650,.,3260,130
343,2012Q1, Grundarfjardarbaer,900,450,450,.,780,120
344,2012Q1, Eyja- og Miklaholtshreppur,130,70,70,.,110,30
345,2012Q1, Snaefellsbaer,1710,880,830,.,1480,230
346,2012Q1, Sveitarfelagid Stykkisholmur,1140,600,540,.,1070,70
347,2012Q1, Dalabyggd,680,360,320,.,660,25
348,2012Q1, Bolungarvikurkaupstadur,880,460,420,.,780,100
349,2012Q1, Isafjardarbaer,3710,1860,1850,.,3390,330
350,2012Q1, Reykholahreppur,260,130,130,.,250,5
351,2012Q1, Vesturbyggd,1180,620,560,.,1040,140
352,2012Q1, Sudavikurhreppur,180,90,90,.,160,20
353,2012Q1, Arneshreppur,50,30,25,.,50,0
354,2012Q1, Kaldrananeshreppur,100,50,50,.,100,0
355,2012Q1, Strandabyggd,510,280,240,.,510,5
356,2012Q1, Hunathing vestra,1160,560,600,.,1120,45
357,2012Q1, Sveitarfelagid Skagastrond,500,260,250,.,500,10
358,2012Q1, Hunabyggd,1350,700,640,.,1250,90
359,2012Q1, Skagafjordur,4180,2100,2070,.,4050,120
360,2012Q1, Akureyrarbaer,17760,8760,9000,.,17340,420
361,2012Q1, Nordurthing,2850,1440,1420,.,2700,150
362,2012Q1, Fjallabyggd,2000,1020,990,.,1950,50
363,2012Q1, Dalvikurbyggd,1890,990,900,.,1720,170
364,2012Q1, Eyjafjardarsveit,1010,520,490,.,990,20
365,2012Q1, Horgarsveit,580,300,280,.,560,15
366,2012Q1, Svalbardsstrandarhreppur,380,190,190,.,360,25
367,2012Q1, Grytubakkahreppur,350,180,170,.,340,15
368,2012Q1, Tjorneshreppur,50,30,25,.,50,.
369,2012Q1, Thingeyjarsveit,1290,670,620,.,1260,30
370,2012Q1, Langanesbyggd,610,320,290,.,540,70
371,2012Q1, Fjardabyggd,4700,2520,2180,.,4270,430
372,2012Q1, Mulathing,4620,2390,2230,.,4370,240
373,2012Q1, Vopnafjardarhreppur,660,340,320,.,650,15
374,2012Q1, Fljotsdalshreppur,80,50,30,.,80,.
375,2012Q1, Vestmannaeyjabaer,4160,2180,1980,.,4000,160
376,2012Q1, Sveitarfelagid Arborg,7730,3910,3820,.,7440,290
377,2012Q1, Sveitarfelagid Hornafjordur,2130,1120,1010,.,2020,110
378,2012Q1, Myrdalshreppur,440,230,210,.,420,20
379,2012Q1, Skaftarhreppur,440,230,210,.,430,15
380,2012Q1, Asahreppur,200,90,100,.,180,15
381,2012Q1, Rangarthing eystra,1700,880,810,.,1550,150
382,2012Q1, Rangarthing ytra,1480,730,750,.,1370,110
383,2012Q1, Hrunamannahreppur,760,390,360,.,660,100
384,2012Q1, Hveragerdisbaer,2240,1130,1110,.,2160,80
385,2012Q1, Sveitarfelagid Olfus,1880,990,890,.,1640,240
386,2012Q1, Grimsnes- og Grafningshreppur,420,230,190,.,390,30
387,2012Q1, Skeida- og Gnupverjahreppur,500,250,250,.,470,35
388,2012Q1, Blaskogabyggd,870,420,440,.,800,70
389,2012Q1, Floahreppur,600,310,290,.,580,25
390,2012Q2,Total,314280,157130,157140,.,295410,18870
391,2012Q2,Capital region,199580,98610,100970,.,187460,12120
392,2012Q2, Reykjavikurborg,115750,57080,58670,.,107750,8000
393,2012Q2, Kopavogsbaer,30900,15290,15610,.,29290,1610
394,2012Q2, Seltjarnarnesbaer,4210,2060,2140,.,4030,180
